ID,English
ACH_100_023_TITLE,"Ancients' Wrath"
ACH_100_024_DESCRIPTION,"Make 3 Kills in one Turn using River's Hero power."
ACH_100_024_TITLE,"Cry us a River"
ACH_100_025_DESCRIPTION,"As Barnaby, have three Items Equipped and have a full Hand of Item Cards."
ACH_100_025_TITLE,"Armed & Dangerous"
ACH_100_026_DESCRIPTION,"Finish a game with Zosha having never been revealed at Night."
ACH_100_026_TITLE,"Missing Shadow"
ACH_100_027_DESCRIPTION,"Have the Spy Glass and Sailor's Lantern Equipped at the same time."
ACH_100_027_TITLE,"All-Seeing Eye"
ACH_100_028_DESCRIPTION,"Have your Items grant you six or more Shields in Battle."
ACH_100_028_TITLE,"Unbreakable"
ACH_100_029_DESCRIPTION,"Kill 3 King's Guards with a Royal Pardon Equipped."
ACH_100_029_TITLE,"Diplomatic Immunity"
ACH_100_030_DESCRIPTION,"Find and Equip three Treasures from Dungeons."
ACH_100_030_TITLE,"Iguana Jones"
ACH_100_031_DESCRIPTION,"Heal a Bane."
ACH_100_031_TITLE,"Baned-Aid"
ACH_100_032_DESCRIPTION,"Steal the King's Crown in Battle with the Mirror Cape."
ACH_100_032_TITLE,"The Fresh Prince"
ACH_100_033_DESCRIPTION,"Play Lightning Strike to a Hero standing on a Palace Tile."
ACH_100_033_TITLE,"Thunder Dome"
ACH_100_034_DESCRIPTION,"Kill the same Hero 5 times in a single game."
ACH_100_034_TITLE,"Bully Mammoth"
ACH_100_035_DESCRIPTION,"In a single game, find two Portals by Exploring Dungeons."
ACH_100_035_TITLE,"Down the Rabbit Hole"
ACH_100_036_DESCRIPTION,"In one turn, Kill a Hero with whom you currently have an Allies' Pact and take one of their Settlements."
ACH_100_036_TITLE,"Machiavellian"
ACH_100_037_DESCRIPTION,"Overcome ten Perils in a single game."
ACH_100_037_TITLE,"Folk Hero"
ACH_100_038_DESCRIPTION,"In a game, go from being Corrupt to having 0 Rot."
ACH_100_038_TITLE,"Drop It Like It's Rot"
ACH_100_039_DESCRIPTION,"Kill another Hero in Battle with nothing Equipped and no Followers."
ACH_100_039_TITLE,"Bear Necessities"
ACH_100_040_DESCRIPTION,"In a single game, receive more than ten Gold from Exploring Dungeons."
ACH_100_040_TITLE,"Gold Digger"
ACH_100_041_DESCRIPTION,"Breach the Palace before the 5th Dawn."
ACH_100_041_TITLE,"Siege Specialist"
ACH_100_042_DESCRIPTION,"Reach 13 Rot or more in a single game."
ACH_100_042_TITLE,"Dark Side of the Worm"
ACH_100_043_DESCRIPTION,"Regain a Recruited Follower to your Party whom you had already lost that game."
ACH_100_043_TITLE,"Lemur Neeson"
ACH_100_044_DESCRIPTION,"Play Reprieve on yourself the same turn you receive a Bounty."
ACH_100_044_TITLE,"Mistrial"
ACH_100_045_DESCRIPTION,"Defeat four or more Kings Guard's in a single game."
ACH_100_045_TITLE,"I am the Law"
ACH_100_046_DESCRIPTION,"Be presented with a mystical choice."
ACH_100_046_TITLE,"Circle of Power"
ACH_100_047_DESCRIPTION,"Be tricked and trapped by some troublesome lil' fellows."
ACH_100_047_TITLE,"Dungeon Deals"
ACH_100_048_DESCRIPTION,"Be tempted beyond restraint in a Forest."
ACH_100_048_TITLE,"Dark Temptation"
ACH_100_049_DESCRIPTION,"Be saved by a very helpful fellow, just when you need him most."
ACH_100_049_TITLE,"An Apple a Day"
ACH_PS4_PLAT_DESCRIPTION,"Unlock every other Trophy."
ACH_PS4_PLAT_TITLE,"...Happily Ever After"
ACT1_00_OPENINGSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"Hi Thane! Hi! Did the Den Mother tell you about me? Did she? I know she did! I see her letter. Let's go. Yay!"
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_CUSTOMCONTROLLERTEXT,"ACT1_00_QUESTSPAWNEDSEQUENCE_METAADVICESEQUENCEELEMENTS_0_ADVICE_CUSTOMCONTROLLERTEXT"
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"Move Thane towards <quest_tile> by selecting an adjacent tile."
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"These are Action Points (AP). You have 3 per Turn. Use them to move between tiles."
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"Your first Quest is at <quest_tile>. Journey there by travelling from tile to tile."
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"Try to get to <quest_tile> within 2 turns."
ACT1_00_QUESTSPAWNEDSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"<quest_tile> is to the north west. It's a lovely trip! This is gonna be great!"
ACT1_01_FIRSTPLAINSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Mountains cost 2 AP to enter, but provide a defensive bonus."
ACT1_01_FIRSTPLAINSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"Woah! Look at those mountains! I mean I've seen bigger. But wow! They'll take ages to cross!"
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,"This is the End Turn button. Press and hold to end your turn at any time."
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"This is the End Turn button. You can end your turn at any time."
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"Can we rest? My feet hurt."
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"This is your Body. It represents your maximum health."
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"If you lose all your health, you will die and be returned to your clan grounds."
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Congratulations, you have reached your first Quest!"
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"In quests you choose between a dangerous option for a bonus reward, or playing it safe."
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Success! Your bonus reward is a Follower."
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"You will also receive +1 Body."
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"And +1 Prestige."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,""
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"This Quest's dangerous option tests your Body stat."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_10_PROMPT_TEXT,"This is the safe option."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"You will gain +1 Body from completing this Body Quest."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"Completing Quests also rewards Heroes with +1 Prestige as their fame spreads across the Kingdom."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,"Your chance to succeed is based on the Stat being tested, +10% chance for each stat point."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,"The penalty of failure is -2 Health."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,"Let's take the dangerous path and try for the Squire."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,"If you succeed the dangerous test, you'll gain the bonus reward."
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_8_PROMPT_TEXT,"This is the dangerous option."
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"This is your Chance of Reward."
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"This is your Chance of Failure."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"End your turn."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Drag the Squire into a Party slot to Recruit him."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"This is your Gold - it is used to play Item, Follower and Trickery cards."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_CUSTOMCONTROLLERTEXT,"Open the Hero Shelf and switch to the Inventory Shelf."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"Click here to open your Inventory Shelf."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"If only you'd got here sooner! That beast attacked while we waited for you. He killed my master!"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"Oh well. You looking for a squire? I don't charge much."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"This guy could come in handy Thane. You've got the Gold, so cough up."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,"Two gold?! I'll follow you to the ends of the earth!"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_4_ADVICE_TEXT,"Right after a nap. I need sleep."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_5_ADVICE_TEXT,"And my feet still hurt."
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_6_ADVICE_TEXT,"Misery! Tragedy! Woe! How can I go on?"
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Turns in Armello cycle\n from Day to Night."
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"You earn Gold income from your Clan and Settlements every Dawn."
ACT1_06_DAY2STARTSEQUENCE_SETCUSTOMCITIZENSEQUENCEELEMENTS_0_QUESTDESCRIPTION_TEXT,"Let's get going. You should read through the journals you recovered."
ACT1_10_STARTCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Remember Fight? Each point in it grants a dice in battle."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Dice in Armello have six unique symbols."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"A Sword is one Attack."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"A Shield is one Defence."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"Suns are Attacks during the day and Misses at night..."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,"Wyld rolls count as a hit. Then Explode! Granting a bonus dice roll."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,"Finally, a Rot is a Miss."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,"These are your opponent's stats. They work the same way as yours."
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,"And Moons are the opposite. Misses during the day and Attacks at night."
ACT1_12_CARDCOMMSFOL06SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"If you're killed in battle, The Squire will kindly take the killing blow for you."
ACT1_12_CARDCOMMSITM11SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The Trusty Shield grants +1 Shield in Battle, which will protect Thane from one enemy Attack."
ACT1_12_CARDCOMMSITM12SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"A Shining Steel Sword grants you +1 Sword in Battle."
ACT1_12_CARDCOMMSITM16SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The Battle Axe adds one Die to your dice pool. It's not a guaranteed hit, but it's better than nothing!"
ACT1_12_CARDCOMMSITM23SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The King's Guard carry Hare's Halberds, which reduce their opponent's Battle dice."
ACT1_12_CARDCOMMSITM27SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The Oak Spear is a defensive weapon. Since you're the defender in this battle, it grants you two guaranteed Swords!"
ACT1_12_GENERALCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"At the start of a Battle, both combatants show their relevant Items, Followers and abilities while their Dice are locked in."
ACT1_12_LOADOUTCOMMSCLN_DAYSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The King's Guard has an affinity for fighting during the Day and gain +1 Die under the Sun sign. The Wolf Clan, in contrast, has an affinity for fighting at Night."
ACT1_12_LOADOUTCOMMSCLN_NIGHTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The Wolf Clan's affinity is the night. They get +1 dice when facing challenges at night."
ACT1_12_STARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Now Roll your Dice."
ACT1_14_KINGSGUARDDIESSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"We've been set up!"
ACT1_14_SECONDSTARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Now Roll your Dice."
ACT1_15_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"They were after us! They had orders that we were the traitor, this was a setup! It must be the Rat Clan behind this!"
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"This isn't good! Did you see? We have a bounty now! The King's Guard will hunt us down."
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"We need to figure out a plan. Fast."
ACT1_5_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Congratulations, you have reached your first Quest!"
ACT1_6_STARTFIRSTCARDDRAWSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"This is your Wits. It determines how many cards you can hold in your Hand."
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"The denizens of Armello will provide you with Rumors. Often you will be able to choose between several of them."
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"This Rumor will lead to a Quest with a Treasure (Poppet) as the reward."
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"This Quest will test your Fight."
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"This is your Fight, it represents your prowess in Battle!"
ACT1_6_STARTTHIRDTURNSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"Travel to your next Quest."
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,"You can also Equip Items and Recruit Followers by highlighting them in your hand then readying them directly."
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"You can also Equip Items and Recruit Followers by dragging them from your hand - the Inventory Shelf will open automatically."
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"Perfect! Let's go. We're crossing a swamp today. Tough walk. We might pick up a scratch or two."
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"We should equip that Sword and Shield, they're sure to come in handy before we're done!"
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"Sir? I gathered up some of my master's supplies. I'm sure he'd want you to have them."
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,"For a price..."
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"End your turn."
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"He got away! And he took the Poppet with him!"
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"I'll be honest. I'm glad we didn't find it. I don't want anything to do with the Rot."
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"Let's set up camp. We can start trying to track him down tomorow."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"Remember this is the safer option in a Quest."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"Completing this Quest will still increase your Fight by +1."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"And +1 Prestige as word of your deeds spread."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"This is the dangerous option which will test your Fight."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,"Your Fight of 5 gives you a 50% chance of success."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,"The Reward is a Treasure, the Poppet and the clue we seek."
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,"The cost of failure is -1 Health."
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"Thane of the Wolf Clan! Hand over the Poppet or be slain by order of the King!"
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"This is crazy! We don't even have the Poppet!"
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"Why are the King's Guard attacking? We've done nothing wrong! This is madness."
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,"This is not good, not good at all! They'll hunt us till we're dead!"
