ID,SimplifiedChinese
ACCOLADE_MOSTDEATHS_MALE,"殉道者"
ACCOLADE_MOSTGOLDEARNED_FEMALE,"金手指"
ACCOLADE_MOSTGOLDEARNED_MALE,"金手指"
ACCOLADE_MOSTHEROESKILLEDINCOMBAT_FEMALE,"毁灭者"
ACCOLADE_MOSTHEROESKILLEDINCOMBAT_MALE,"毁灭者"
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT_FEMALE,"无名英雄"
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT_MALE,"无名英雄"
ACCOLADE_MOSTROTGAINED_FEMALE,"先驱者"
ACCOLADE_MOSTROTGAINED_MALE,"先驱者"
ACCOLADE_MOSTROTGAINEDFROMSPELLS_FEMALE,"亡灵巫师"
ACCOLADE_MOSTROTGAINEDFROMSPELLS_MALE,"亡灵巫师"
ACCOLADE_MOSTROTGIVENTOOTHERS_FEMALE,"腐化者"
ACCOLADE_MOSTROTGIVENTOOTHERS_MALE,"腐化者"
ACCOLADE_MOSTSETTLEMENTSCAPTURED_FEMALE,"征服者"
ACCOLADE_MOSTSETTLEMENTSCAPTURED_MALE,"征服者"
ACCOLADE_MOSTSPELLKILLS_FEMALE,"术士"
ACCOLADE_MOSTSPELLKILLS_MALE,"术士"
ACCOLADE_MOSTSPELLPERILSPLAYED_FEMALE,"魔术师"
ACCOLADE_MOSTSPELLPERILSPLAYED_MALE,"魔术师"
ACCOLADE_MOSTTILESWALKEDACROSS_FEMALE,"流浪者"
ACCOLADE_MOSTTILESWALKEDACROSS_MALE,"流浪者"
ACCOLADE_MOSTTRICKERYKILLS_FEMALE,"刺客"
ACCOLADE_MOSTTRICKERYKILLS_MALE,"刺客"
ACCOLADE_MOSTTRICKERYPERILSPLAYED_FEMALE,"战略家"
ACCOLADE_MOSTTRICKERYPERILSPLAYED_MALE,"战略家"
ACCOLADE_MOSTWOUNDSHEALED_FEMALE,"治病术士"
ACCOLADE_MOSTWOUNDSHEALED_MALE,"治病术士"
ACCOLADE_NOHEROKILLS_FEMALE,"和平主义者"
ACCOLADE_NOHEROKILLS_MALE,"和平主义者"
ACCOLADE_NONE_FEMALE,"平凡无常"
ACCOLADE_NONE_MALE,"平凡无常"
ACCOLADE_NOSPELLSCAST_FEMALE,"贱民"
ACCOLADE_NOSPELLSCAST_MALE,"贱民"
ACCOLADE_NOTRICKERYCARDSPLAYED_FEMALE,"纯化论者"
ACCOLADE_NOTRICKERYCARDSPLAYED_MALE,"纯化论者"
ACCOLADE_SQUIRE_FEMALE_1,"护卫"
ACCOLADE_SQUIRE_FEMALE_2,"斗败狗"
ACCOLADE_SQUIRE_MALE_1,"护卫"
ACCOLADE_SQUIRE_MALE_2,"斗败狗"
ACCOLADE_ZERODEATHS_FEMALE,"不朽者"
ACCOLADE_ZERODEATHS_MALE,"不朽者"
ACH_100_001_DESCRIPTION,"补全阿门罗的序章。"
ACH_100_001_TITLE,"从前..."
ACH_100_002_DESCRIPTION,"携狼族塞恩赢游戏。"
ACH_100_002_TITLE,"冬狼"
ACH_100_003_DESCRIPTION,"携熊族萨娜赢游戏。"
ACH_100_003_TITLE,"森林姊妹"
ACH_100_004_DESCRIPTION,"携兔族安布尔赢游戏。"
ACH_100_004_TITLE,"远寻者"
ACH_100_005_DESCRIPTION,"携鼠族默丘里奥赢游戏。"
ACH_100_005_TITLE,"狞笑之刃"
ACH_100_006_DESCRIPTION,"携狼族里弗赢游戏。"
ACH_100_006_TITLE,"啸鸣之箭"
ACH_100_007_DESCRIPTION,"携熊族布朗赢游戏。"
ACH_100_007_TITLE,"伐橡树者"
ACH_100_008_DESCRIPTION,"携兔族巴纳比赢游戏。"
ACH_100_008_TITLE,"古怪之灵"
ACH_100_009_DESCRIPTION,"携鼠族佐沙赢游戏。"
ACH_100_009_TITLE,"低语之灵"
ACH_100_010_DESCRIPTION,"通过打败弑君者赢游戏。"
ACH_100_010_TITLE,"弑君者"
ACH_100_011_DESCRIPTION,"通过赢得威望赢游戏"
ACH_100_011_TITLE,"皇家总管"
ACH_100_012_DESCRIPTION,"通过战胜腐化赢游戏。"
ACH_100_012_TITLE,"黑心"
ACH_100_013_DESCRIPTION,"通过赢得灵石赢游戏。"
ACH_100_013_TITLE,"心灵行者"
ACH_100_014_DESCRIPTION,"在战斗中杀死国王，而不留下任何伤口。"
ACH_100_014_TITLE,"设防弑君"
ACH_100_015_DESCRIPTION,"在保命的同时赢得阿门罗游戏。"
ACH_100_015_TITLE,"战争之艺术"
ACH_100_016_DESCRIPTION,"通过在第 9 天或之后赢得威望而赢游戏"
ACH_100_016_TITLE,"消耗战"
ACH_100_017_DESCRIPTION,"作为威望领导者攻击国王。"
ACH_100_017_TITLE,"一群鬣狗"
ACH_100_018_DESCRIPTION,"在不杀死另一名勇士的情况下赢得阿门罗游戏。"
ACH_100_018_TITLE,"外交家"
ACH_100_019_DESCRIPTION,"利用塞恩的勇士力量刺穿 3 个盾牌。"
ACH_100_019_TITLE,"阿尔法"
ACH_100_020_DESCRIPTION,"利用萨娜的勇士力量，战胜堕落的勇士。"
ACH_100_020_TITLE,"自然之力"
ACH_100_021_DESCRIPTION,"扮演安布尔，拥有 3 件已装备宝藏和 3 位招募的追随者。"
ACH_100_021_TITLE,"随从"
ACH_100_022_DESCRIPTION,"使用墨丘里奥的勇士力量，偷走另一名勇士最后 1 点金币。"
ACH_100_022_TITLE,"零钱"
ACH_100_023_DESCRIPTION,"利用布朗活跃的勇士力量消灭另一名勇士。"
ACH_100_023_TITLE,"古人之愤怒"
ACH_100_024_DESCRIPTION,"使用里弗的勇士力量在一个回合里展开三连杀。"
ACH_100_024_TITLE,"泪流成河"
ACH_100_025_DESCRIPTION,"扮演巴纳比，拥有三个已装备道具和全副道具卡牌。"
ACH_100_025_TITLE,"武装与危险"
ACH_100_026_DESCRIPTION,"携从未在夜间出现的佐沙完成游戏。"
ACH_100_026_TITLE,"丢失之影"
ACH_100_027_DESCRIPTION,"同时拥有望远镜和水手灯笼。"
ACH_100_027_TITLE,"全视之眼"
ACH_100_028_DESCRIPTION,"让您的道具在战斗中给予您 6 个或更多的盾牌。"
ACH_100_028_TITLE,"不死劫"
ACH_100_029_DESCRIPTION,"装备皇家赦免，杀死国王的 3 名守卫。"
ACH_100_029_TITLE,"外交豁免"
ACH_100_030_DESCRIPTION,"从地牢找到并装备三件宝藏。"
ACH_100_030_TITLE,"鬣蜥蜴琼斯"
ACH_100_031_DESCRIPTION,"治愈贝恩。"
ACH_100_031_TITLE,"遭遇贝恩祸害的援助。"
ACH_100_032_DESCRIPTION,"利用魔镜斗篷在战斗中偷走国王的皇冠。"
ACH_100_032_TITLE,"新鲜王子"
ACH_100_033_DESCRIPTION,"对站在宫殿一块瓦片上的勇士展开闪电攻击。"
ACH_100_033_TITLE,"雷声穹顶"
ACH_100_034_DESCRIPTION,"在一场游戏中 5 次杀死同一名勇士。"
ACH_100_034_TITLE,"恶霸猛犸象"
ACH_100_035_DESCRIPTION,"在一场游戏中，通过探索地牢找到两个入口。"
ACH_100_035_TITLE,"钻进兔子洞"
ACH_100_036_DESCRIPTION,"在一个回合中，杀死一名目前与您签有盟友协定的勇士并占领它们的一个聚落。"
ACH_100_036_TITLE,"马基雅弗利"
ACH_100_037_DESCRIPTION,"在一场游戏中克服十个危险。"
ACH_100_037_TITLE,"民族勇士"
ACH_100_038_DESCRIPTION,"在游戏中从堕落到 0 点腐化。"
ACH_100_038_TITLE,"像摆脱腐化一样扔掉它"
ACH_100_039_DESCRIPTION,"在战斗中杀死另一名爪无寸铁装备且无追随者的勇士。"
ACH_100_039_TITLE,"猎熊"
ACH_100_040_DESCRIPTION,"在一场游戏中，接收探索地牢获得超过 10 点的金币。"
ACH_100_040_TITLE,"掘金者"
ACH_100_041_DESCRIPTION,"在第 5 日黎明前攻破宫殿。"
ACH_100_041_TITLE,"围攻专家"
ACH_100_042_DESCRIPTION,"在一场游戏中达到 13 点腐化或更高点数。"
ACH_100_042_TITLE,"蠕虫阴暗之面"
ACH_100_043_DESCRIPTION,"让您输掉比赛的已招募追随者重新加入您的队伍。"
ACH_100_043_TITLE,"狐猴尼逊"
ACH_100_044_DESCRIPTION,"在您获得奖金的同一回合对您自己实行缓刑。"
ACH_100_044_TITLE,"无效审判"
ACH_100_045_DESCRIPTION,"在一场游戏中打败国王的四个或更多守卫。"
ACH_100_045_TITLE,"我就是法"
ACH_100_046_DESCRIPTION,"被提供一个神秘的选择。"
ACH_100_046_TITLE,"力量圆场"
ACH_100_047_DESCRIPTION,"被一些麻烦又邪恶的家伙欺骗，落入它们的陷阱。"
ACH_100_047_TITLE,"地牢之交易"
ACH_100_048_DESCRIPTION,"在一片森林受到难以抵抗的诱惑。"
ACH_100_048_TITLE,"黑街诱惑"
ACH_100_049_DESCRIPTION,"在您最需要帮助的时候被一个非常乐于助人的家伙拯救。"
ACH_100_049_TITLE,"一天一个苹果"
ACH_PS4_PLAT_DESCRIPTION,"每隔一个解锁一个奖杯。"
ACH_PS4_PLAT_TITLE,"...从此以后便过上了幸福的生活"
ACT1_00_OPENINGSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"嗨，塞恩！嗨！女训导向你提过我吗？她有吗？我知道她提过！我看到她的信了。我们走吧。哇！"
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_CUSTOMCONTROLLERTEXT,"ACT1_00_QUESTSPAWNEDSEQUENCE_METAADVICESEQUENCEELEMENTS_0_ADVICE_CUSTOMCONTROLLERTEXT"
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"选择相邻的瓦片将塞恩移向 <quest_tile> 。"
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"这些是行动点 (AP)。你每个回合有 3 个行动点。使用它们在瓦片之间来回移动。"
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"你的第一个任务是在 <quest_tile>。从一个瓦片移到另一个瓦片，到达这里。"
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"设法在 2 个回合内到达 <quest_tile>。"
ACT1_00_QUESTSPAWNEDSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"<quest_tile> 在西北方向。这是一个非常愉快的旅途。将非常有趣！"
ACT1_01_FIRSTPLAINSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"进山要花费 2 个AP，但是会提供防御性奖励。"
ACT1_01_FIRSTPLAINSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"哇哦！看这些山！我是说我还看过更大的山。但是现在！穿过这些需要花几年的时间。"
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,"这是回合结束按钮。按住此按钮，随时结束回合。"
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"这是“结束回合”按钮。你可以随时结束你的回合。"
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"我们能休息一下吗？我的脚疼。"
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"这是你的体力。它代表你的生命上限。"
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"如果你失去所有生命，你将死去并被返回至你的宗族领地。"
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"恭喜，你完成了第一个任务！"
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"在任务中，你可以选择危险选项获取奖励，或者选择安全地游戏。"
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"成功了！你的奖励是一名追随者。"
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"你也会增加 1 点体力。"
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"和 1 点威望。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,""
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"这个任务的危险选项测试你的体力属性。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_10_PROMPT_TEXT,"这是安全选项。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"完成这个体力任务，你将增加 1 点体力。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"完成任务也将奖励增加 1 点威望的勇士，让他们名扬整个王国。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,"你成功的机率基于正在测试的属性，每个属性点增加 10% 的成功机率。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,"失败的处罚是失去 2 点生命。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,"我们选择危险的道路，争取那个护卫。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,"如果你成功通过危险测试，你将获得奖励。"
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_8_PROMPT_TEXT,"这是危险选项。"
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"这是你的奖励机率。"
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"这是你的失败机率。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"结束回合。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"将护卫拖拽到队伍槽中招募他。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"这是你的黄金 - 用于玩道具、追随者和诡术卡牌。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_CUSTOMCONTROLLERTEXT,"打开勇士展架，然后切换至库存展架。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"点击此处打开你的库存展架。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"要是你早点到这儿多好啊！就在我们等你时，野兽展开了攻击。他杀掉了我的主人！"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"噢，好吧。你在寻找护卫吗？我收费不高。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"这个家伙能派上用场，塞恩。你已经拿到了黄金，就勉强交出来吧。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,"两块黄金？！我会跟随你到天涯海角！"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_4_ADVICE_TEXT,"打个盹之后。我需要睡觉。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_5_ADVICE_TEXT,"而且我的脚仍然很疼。"
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_6_ADVICE_TEXT,"悲痛！悲剧！唉！我要怎么活下去？"
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"在阿门罗循环中\n从早到晚大战回合。"
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"每天黎明，你从你的宗族和聚落赚取金币收入。"
ACT1_06_DAY2STARTSEQUENCE_SETCUSTOMCITIZENSEQUENCEELEMENTS_0_QUESTDESCRIPTION_TEXT,"我们出发吧。你应该通读你发现的日志。"
ACT1_10_STARTCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"记得战斗吗？战斗的每个点能在斗争过程中掷一个骰子。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"阿门罗中的骰子有六个独特的符号。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"一把剑是一次攻击。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"一个盾牌是一次防御。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"太阳在白天是攻击，而在晚上是未击中目标。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,"怀尔德掷骰子算是击中。然后爆炸！发放奖励掷骰子。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,"最后，一个腐化是错过目标一次。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,"这些是你的对手的属性。它们的作用和你的一样。"
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,"而月亮刚好相反。在白天未击中目标，晚上攻击。"
ACT1_12_CARDCOMMSFOL06SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"如果你在战斗中被杀死，护卫将会爽快地给你致命一击。"
ACT1_12_CARDCOMMSITM11SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"信任盾牌会在战斗中产生 1 个盾牌，保护塞恩不受一个敌人的攻击。"
ACT1_12_CARDCOMMSITM12SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"闪亮的钢剑会在战斗中为你产生 1 把剑。"
ACT1_12_CARDCOMMSITM16SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"战斧会给你的骰子库增加一颗骰子。不能保证能击中，但是有总比没有好！"
ACT1_12_CARDCOMMSITM23SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"国王的卫队带着兔子的战戟，它们能减少敌人的战斗骰子。"
ACT1_12_CARDCOMMSITM27SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"橡木矛是一种防御武器。因为你是这场战斗中的防守者，它将为你产生两把保证能击中的剑！"
ACT1_12_GENERALCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"战斗开始时，两位斗争者都要展示他们的相关装备、追随者和能力，与此同时他们的骰子无法更换。"
ACT1_12_LOADOUTCOMMSCLN_DAYSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"国王的卫队比较喜欢在白天战斗，而且有太阳标记的能增加 1 个骰子。狼族相反，比较喜欢在晚上战斗。"
ACT1_12_LOADOUTCOMMSCLN_NIGHTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"狼族的吸引力是晚上。当晚上面临挑战时，他们能获得 1 克骰子。"
ACT1_12_STARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"现在，掷你的骰子吧。"
ACT1_14_KINGSGUARDDIESSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"我们已经埋伏好了！"
ACT1_14_SECONDSTARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"现在，掷你的骰子吧。"
ACT1_15_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"他们在追我们！他们接到命令说我们是叛徒，这是个圈套！肯定是鼠族一手策划的！"
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"形势不妙！你看到了吗？我们现在有赏金了！国王的卫队会抓住我们。"
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"我们得想一个对策。快点。"
ACT1_5_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"恭喜，你完成了第一个任务！"
ACT1_6_STARTFIRSTCARDDRAWSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"这是你的智慧。它决定你的手中能拿几张卡牌。"
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"阿门罗的居民将为你提供传言。你通常会在这些传言之中选择几个。"
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,"这个传言将通向一个有宝藏（玩偶）作为奖励的任务。"
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,"这个任务会测试你的战斗能力。"
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,"这是你的战斗能力，它表示你在战斗中的威力。"
ACT1_6_STARTTHIRDTURNSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"前往你的下一个任务。"
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,"你也可以通过在你的手中突出显示装备和追随者，然后直接准备好他们来佩戴装备和招募追随者。"
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"你可以通过在手中拖拽装备和追随者 - 库存展架会自动打开，来佩戴装备和招募追随者。"
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"非常好！我们走吧。我们今天在穿越一片沼泽。步行。我们可能会捡到一个或两个抓刮。"
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"我们应该配备那把剑和盾牌，在我们结束之前肯定能用得上！"
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"阁下？我收集了一些我主人的补给品。我确定他想让我拿。"
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,"价格..."
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,"结束回合。"
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,"他逃走了！而且带着那个木偶！"
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,"我会很城市。我很高兴我们没找到它。我不想和腐化扯上关系。"
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,"我们来搭帐篷吧。我们可以从明天开始追捕他。"
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,"请记住，这个任务中较安全的选项。"
